#JD                    MAG              ERR               SURVEY Filter
2457610.110669999849  -0.047000000000   0.022000000000    ASAS-SN V
2457611.092389999889   0.032000000000   0.024000000000    ASAS-SN V
2457611.093650000170   0.080000000000   0.026000000000    ASAS-SN V
2457611.094909999985   0.082000000000   0.027000000000    ASAS-SN V
2457618.070540000219   0.034000000000   0.041000000000    ASAS-SN V
2457618.071849999949  -0.073000000000   0.039000000000    ASAS-SN V
2457618.073110000230   0.006000000000   0.036000000000    ASAS-SN V
2457620.103449999820   0.079000000000   0.034000000000    ASAS-SN V
2457620.104720000178   0.006000000000   0.036000000000    ASAS-SN V
2457620.105979999993   0.089000000000   0.037000000000    ASAS-SN V
2457630.090739999898  -0.017000000000   0.024000000000    ASAS-SN V
2457630.091980000027  -0.061000000000   0.023000000000    ASAS-SN V
2457630.093239999842  -0.070000000000   0.022000000000    ASAS-SN V
2457638.090040000156  -0.025000000000   0.022000000000    ASAS-SN V
2457638.091289999895  -0.006000000000   0.023000000000    ASAS-SN V
2457638.092550000176   0.037000000000   0.023000000000    ASAS-SN V
2457644.005950000137   0.190000000000   0.118000000000    ASAS-SN V
2457646.007699999958  -0.063000000000   0.032000000000    ASAS-SN V
2457646.008950000163  -0.028000000000   0.033000000000    ASAS-SN V
2457646.010220000055  -0.090000000000   0.035000000000    ASAS-SN V
2457651.040870000143  -0.007000000000   0.046000000000    ASAS-SN V
2457651.042119999882   0.066000000000   0.048000000000    ASAS-SN V
2457651.043380000163  -0.042000000000   0.048000000000    ASAS-SN V
2457657.144780000206  -0.017000000000   0.034000000000    ASAS-SN V
2457657.146050000098   0.017000000000   0.037000000000    ASAS-SN V
2457657.147299999837  -0.115000000000   0.039000000000    ASAS-SN V
2457659.119690000080   0.055000000000   0.024000000000    ASAS-SN V
2457659.120959999971   0.038000000000   0.023000000000    ASAS-SN V
2457659.122210000176   0.046000000000   0.024000000000    ASAS-SN V
2457668.054090000223   0.044000000000   0.024000000000    ASAS-SN V
2457668.055360000115   0.018000000000   0.023000000000    ASAS-SN V
2457668.056609999854  -0.013000000000   0.022000000000    ASAS-SN V
2457669.966469999868  -0.013000000000   0.026000000000    ASAS-SN V
2457669.967709999997   0.026000000000   0.025000000000    ASAS-SN V
2457671.014709999785   0.025000000000   0.024000000000    ASAS-SN V
2457671.015970000066  -0.009000000000   0.023000000000    ASAS-SN V
2457671.017229999881   0.007000000000   0.023000000000    ASAS-SN V
2457673.922739999834   0.015000000000   0.033000000000    ASAS-SN V
2457673.924029999878   0.051000000000   0.033000000000    ASAS-SN V
2457675.940620000008   0.118000000000   0.045000000000    ASAS-SN V
2457675.941870000213   0.082000000000   0.040000000000    ASAS-SN V
2457675.943130000029   0.009000000000   0.039000000000    ASAS-SN V
2457686.119340000208   0.067000000000   0.027000000000    ASAS-SN V
2457686.120600000024   0.022000000000   0.025000000000    ASAS-SN V
2457686.121869999915   0.030000000000   0.027000000000    ASAS-SN V
2457687.958529999945   0.002000000000   0.023000000000    ASAS-SN V
2457687.959790000226   0.038000000000   0.022000000000    ASAS-SN V
2457688.969370000064   0.061000000000   0.024000000000    ASAS-SN V
2457688.970619999804   0.023000000000   0.024000000000    ASAS-SN V
2457688.971890000161  -0.028000000000   0.023000000000    ASAS-SN V
2457694.058759999927   0.149000000000   0.110000000000    ASAS-SN V
2457694.060020000208   0.127000000000   0.104000000000    ASAS-SN V
2457694.061269999947  -0.269000000000   0.104000000000    ASAS-SN V
2457695.084950000048  -0.037000000000   0.022000000000    ASAS-SN V
2457695.086199999787   0.014000000000   0.023000000000    ASAS-SN V
2457695.087449999992  -0.027000000000   0.023000000000    ASAS-SN V
2457698.054010000080  -0.001000000000   0.021000000000    ASAS-SN V
2457698.055259999819   0.012000000000   0.022000000000    ASAS-SN V
2457698.056510000024  -0.042000000000   0.022000000000    ASAS-SN V
2457701.882600000128   0.014000000000   0.029000000000    ASAS-SN V
2457701.883890000172   0.009000000000   0.026000000000    ASAS-SN V
2457701.885139999911  -0.001000000000   0.028000000000    ASAS-SN V
2457703.049130000174   0.010000000000   0.023000000000    ASAS-SN V
2457703.050470000133   0.025000000000   0.023000000000    ASAS-SN V
2457703.051719999872   0.040000000000   0.022000000000    ASAS-SN V
2457703.843880000059   0.127000000000   0.037000000000    ASAS-SN V
2457703.845139999874   0.086000000000   0.036000000000    ASAS-SN V
2457703.846390000079   0.051000000000   0.038000000000    ASAS-SN V
2457706.827790000010   0.070000000000   0.065000000000    ASAS-SN V
