# BJD-2454833, Flux, Error
2.992873156852707325e+03 1.005634837492571654e+00 1.129487174284200742e-04
2.992893588832783280e+03 1.006418308300775610e+00 1.129487174284200742e-04
2.992914020912401611e+03 1.006959018302671094e+00 1.129487174284200742e-04
2.992934453091089381e+03 1.008000063868927709e+00 1.129487174284200742e-04
2.992954885069768352e+03 1.009500795326736977e+00 1.129487174284200742e-04
2.992975317147524038e+03 1.010833077709506034e+00 1.129487174284200742e-04
2.992995749325280485e+03 1.012275144754590794e+00 1.129487174284200742e-04
2.993016181402097573e+03 1.013614386438187909e+00 1.129487174284200742e-04
2.993036613378455513e+03 1.015003840716198757e+00 1.129487174284200742e-04
2.993057045554349315e+03 1.016353663435406451e+00 1.129487174284200742e-04
2.993077477630235080e+03 1.017632259702447195e+00 1.129487174284200742e-04
2.993097909605196037e+03 1.018771177862219046e+00 1.129487174284200742e-04
2.993118341779692855e+03 1.020036104120122467e+00 1.129487174284200742e-04
2.993138773753715213e+03 1.021251362909800564e+00 1.129487174284200742e-04
2.993159205827279948e+03 1.022387997937820314e+00 1.129487174284200742e-04
2.993179638000379782e+03 1.023271978079033140e+00 1.129487174284200742e-04
2.993200069972539495e+03 1.024046394210968547e+00 1.129487174284200742e-04
2.993220502044707246e+03 1.024926597778068382e+00 1.129487174284200742e-04
2.993240934216410096e+03 1.025277831774014103e+00 1.129487174284200742e-04
2.993261366187638487e+03 1.026020357438534925e+00 1.129487174284200742e-04
2.993281798257943592e+03 1.026697511119357697e+00 1.129487174284200742e-04
2.993302230428249459e+03 1.026911604339471928e+00 1.129487174284200742e-04
2.993322662397615204e+03 1.027119341312251466e+00 1.129487174284200742e-04
2.993343094466988987e+03 1.027504067571349156e+00 1.129487174284200742e-04
2.993363526635432208e+03 1.027873204860554557e+00 1.129487174284200742e-04
2.993383958703401731e+03 1.027744347759149912e+00 1.129487174284200742e-04
2.993424822838424006e+03 1.028033474484332022e+00 1.129487174284200742e-04
2.993445254904996546e+03 1.027710169261180528e+00 1.129487174284200742e-04
2.993465686871109938e+03 1.027360611186082684e+00 1.129487174284200742e-04
2.993486119036759192e+03 1.026854300113496654e+00 1.129487174284200742e-04
2.993506551101934747e+03 1.026301141264711614e+00 1.129487174284200742e-04
2.993526983066651155e+03 1.025678091445009876e+00 1.129487174284200742e-04
2.993547415230903425e+03 1.024905438060620178e+00 1.129487174284200742e-04
2.993567847294681997e+03 1.024223091717332057e+00 1.129487174284200742e-04
2.993588279258001421e+03 1.023363703010808035e+00 1.129487174284200742e-04
2.993608711420856707e+03 1.022223629020567293e+00 1.129487174284200742e-04
2.993629143483238295e+03 1.021743511796790127e+00 1.129487174284200742e-04
2.993649575444695074e+03 1.020736731200615921e+00 1.129487174284200742e-04
2.993670007606153376e+03 1.019620844485097599e+00 1.129487174284200742e-04
2.993690439666672319e+03 1.018648840370981690e+00 1.129487174284200742e-04
2.993710871727198537e+03 1.018200537640243430e+00 1.129487174284200742e-04
2.993731303787259094e+03 1.016848034899068720e+00 1.129487174284200742e-04
2.993751735846381052e+03 1.015427475573733362e+00 1.129487174284200742e-04
2.993772167905044626e+03 1.014250630655850083e+00 1.129487174284200742e-04
2.993792599963708199e+03 1.013036733682305401e+00 1.129487174284200742e-04
2.993813032021433173e+03 1.011657748117425148e+00 1.129487174284200742e-04
2.993833464078699762e+03 1.010663568056813455e+00 1.129487174284200742e-04
2.993853896235959837e+03 1.009224453570727098e+00 1.129487174284200742e-04
2.993874328192294342e+03 1.008060573083839007e+00 1.129487174284200742e-04
2.993894760348164709e+03 1.006866055758144363e+00 1.129487174284200742e-04
2.993915192303567892e+03 1.005959606005495610e+00 1.129487174284200742e-04
2.993935624358498899e+03 1.004578279945209429e+00 1.129487174284200742e-04
2.993956056512972282e+03 1.003232992979528282e+00 1.129487174284200742e-04
2.993976488466971205e+03 1.001854690322544039e+00 1.129487174284200742e-04
2.993996920520512504e+03 1.000547982529136792e+00 1.129487174284200742e-04
2.994017352673588903e+03 9.993438800735168215e-01 1.129487174284200742e-04
2.994037784626198118e+03 9.982806367301680917e-01 1.129487174284200742e-04
2.994058216678335157e+03 9.972515103308762230e-01 1.129487174284200742e-04
2.994078648830014572e+03 9.959442124777099226e-01 1.129487174284200742e-04
2.994099080781219527e+03 9.951398878935900916e-01 1.129487174284200742e-04
2.994119512831501197e+03 9.934321359239247640e-01 1.129487174284200742e-04
2.994139944981783628e+03 9.922246104941743194e-01 1.129487174284200742e-04
2.994160376931598876e+03 9.908754079699204631e-01 1.129487174284200742e-04
2.994180808980476286e+03 9.895225517916670377e-01 1.129487174284200742e-04
2.994201241129361733e+03 9.889296755494187963e-01 1.129487174284200742e-04
2.994221673177307821e+03 9.877744297719313060e-01 1.129487174284200742e-04
2.994242105125260423e+03 9.865973962753410431e-01 1.129487174284200742e-04
2.994262537272283225e+03 9.855125088494220975e-01 1.129487174284200742e-04
2.994282969319297990e+03 9.843298268381569516e-01 1.129487174284200742e-04
2.994303401265387947e+03 9.831358845057193152e-01 1.129487174284200742e-04
2.994323833411479427e+03 9.822889238069993922e-01 1.129487174284200742e-04
2.994344265456631547e+03 9.816331295988397487e-01 1.129487174284200742e-04
2.994364697401324520e+03 9.814143664550275536e-01 1.129487174284200742e-04
2.994385129546019016e+03 9.812150185271942826e-01 1.129487174284200742e-04
2.994405561589774152e+03 9.814985141060542650e-01 1.129487174284200742e-04
2.994425993533070141e+03 9.806260292795176969e-01 1.129487174284200742e-04
